Checking and applying pending database migrations...

[4mSequelize CLI [Node: 22.18.0, CLI: 6.6.2, ORM: 6.37.8][24m

Loaded configuration file "src\config\sequelize-cli.js".
Using environment "development".
No migrations were executed, database schema was already up to date.
Database migrations are up to date
Database connection established
Toilet QR bootstrap completed: total=10 generated=0 skipped=10 failed=0
Server is running on port 5000
[92def58c-ad3f-462a-a1f6-81568e9d2d4b] GET /api/v1/inspections?page=1&limit=8 -> 200 5015ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[983914ab-1e95-452b-a95f-e35170f31052] GET /api/v1/dashboard/alerts?page=1&limit=8 -> 200 5132ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[081aa145-e133-4d3f-858e-7eedbbf1af88] GET /api/v1/dashboard/overview -> 200 5690ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[d91f9704-771c-45b5-a928-dd831d2ed766] GET /api/v1/dashboard/trends -> 200 5869ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[a95f8964-c0c6-49f7-b2d1-87c78360df6a] OPTIONS /api/v1/dashboard/overview -> 204 1ms tenant=platform user=anonymous
[785ce180-e809-4cd1-8fbc-229c2005bf6c] OPTIONS /api/v1/dashboard/trends -> 204 1ms tenant=platform user=anonymous
[6417014b-40d8-4c8f-8460-2434d764c008] OPTIONS /api/v1/dashboard/alerts?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
[b905e925-1428-4f0b-bb49-71adc68a8840] OPTIONS /api/v1/inspections?page=1&limit=8 -> 204 1ms tenant=platform user=anonymous
[da25827f-cdcf-4739-a634-1bef28be1c3c] GET /api/v1/inspections?page=1&limit=8 -> 200 933ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
[0d564db1-2342-4945-8265-d06ea77fe8d1] GET /api/v1/dashboard/overview -> 200 1145ms tenant=9e417b55-663f-4ee0-ba39-2a64c1a8db79 user=c11efc78-2802-413f-b815-948c96c079a1
